Title,Authors,Publication Year,Summary,Topics,DOI
"Entomophagy: What, If Anything, Do We Owe to Insects?","Martin, Angela K.",,,"Article Type - Book Chapter,Farming,Food/feed,Moral Status,Sentience",
Sentience in decapod crustaceans:  A general framework and review of the evidence,"Crump, Andrew; Browning, Heather; Schnell, Alex; Burn, Charlotte; Birch, Jonathan",2022,,"Article Type - Review,Cephalopod,Decapod,Pain,Sentience",https://www.wellbeingintlstudiesrepository.org/animsent/vol7/iss32/1
Inhibition of pain or response to injury in invertebrates and vertebrates,"Gibbons, Matilda; Sarlak, Sajedeh",2020,,"Article Type - Commentary,Invertebrate,Modulation,Pain,Sentience",https://www.wellbeingintlstudiesrepository.org/animsent/vol5/iss29/34
Insect Pain and Suffering by Humans: An Argument for Misanthropic Anti-natalism,"Smith, Oliver D.",2022,"Misanthropic anti-natalism argues it is unethical for humans to procreate because the human species inflicts an immense amount of pain and suffering (including painful death) on other humans, non-human animals and causes environmental degradation (such as pollution). This article tentatively estimates the number of insect deaths caused by humans worldwide each year is 10 quadrillion and argues since the vast majority of these deaths are painful, humans should refrain voluntarily from procreation and bringing new humans into existence.","Article Type - Theoretical Primary,Killing Method,Pain",https://hcommons.org/deposits/item/hc:47749/
Subjective experience in insects:  Definitions and other difficulties,"Adamo, Shelley",2016,,"Affective States,Article Type - Commentary,Sentience",https://www.wellbeingintlstudiesrepository.org/animsent/vol1/iss9/15
Insects: Still looking like zombies,"Hill, Christopher",2016,,"Affective States,Article Type - Commentary,Sentience",https://www.wellbeingintlstudiesrepository.org/animsent/vol1/iss9/20
Fish sentience: A hypothesis worth pursuing,"Burgos, José",2017,,"Article Type - Commentary,Fish,Sentience",https://www.wellbeingintlstudiesrepository.org/animsent/vol2/iss13/12
Extending the null hypothesis to invertebrate pain sentience,"Kakrada, Eva; Colombo, Michael",2022,,"Affective States,Article Type - Commentary,Invertebrate,Sentience",https://www.wellbeingintlstudiesrepository.org/animsent/vol7/iss32/25
It might not matter very much whether insects are conscious,"Levy, Neil",2020,,"Affective States,Article Type - Commentary,Sentience",https://www.wellbeingintlstudiesrepository.org/animsent/vol5/iss29/2
Cephalopods are best candidates for invertebrate consciousness,"Mather, Jennifer A.; Carere, Claudio",2016,"Insects might have been the first invertebrates to evolve sentience, but cephalopods were the first invertebrates to gain scientific recognition for it.","Article Type - Commentary,Cephalopod,Research Use,Sentience,Welfare",https://www.wellbeingintlstudiesrepository.org/animsent/vol1/iss9/2
Sentience in all organisms with centralized nervous systems,"Marino, Lori",2020,,"Article Type - Commentary,Sentience",https://www.wellbeingintlstudiesrepository.org/animsent/vol5/iss29/19
Insect consciousness: Fine-tuning the hypothesis,"Mallatt, Jon; Feinberg, Todd",2016,,"Article Type - Commentary,Sentience",https://www.wellbeingintlstudiesrepository.org/animsent/vol1/iss9/10
On the possibility of invertebrate sentience,"DeGrazia, David",2020,,"Article Type - Commentary,Moral Status,Pain,Sentience",https://www.wellbeingintlstudiesrepository.org/animsent/vol5/iss29/15
Welfare of farmed insects,"van Huis, A.",2019,"When discussing insect welfare, the distinction is often made between nociception and pain, the first being a reflex response, while the second refers to a negative emotion perceived by the brain. There is some evidence that insects can experience emotions. Anthropomorphism may influence opinions on the question of how smart animals are. For insects, the precautionary principle is often used: give insects the benefit of the doubt and regard them as ‘sentient beings’. Considering the large number of farmed insects needed for food or feed, some articles discourage the consumption of insects, and favour plant-based diets. However, the protection of food plants also involves the killing of huge numbers of insects. I conclude that in insect farming we need to treat insects as sentient beings.","Article Type - Opinion,Behavior,Farming,Food/feed,Moral Status,Pain,Sentience,Welfare",https://www.wageningenacademic.com/doi/abs/10.3920/JIFF2019.x004
Eating insects and tourism: Ethical challenges in a changing world,"Perdue, Robert Todd",2018,"This chapter outlines the relationship between entomophagy and tourism. It examines ethical challenges that can result from tourism exchanges that exploit. The chapter focuses on the ethics of eating insects and current debates about insect sentience. Entomophagy, the eating of insects, rarely comes up in the tourism literature, or any literature for that matter – unless, that is, you are a reader of the Journal of Insects as Food and Feed, whose sheer existence hints at the growing importance that entomophagy may hold for people rapidly changing world. In countries without such a legacy, interest has also increased. The United States has seen curiosity in bugs as a food source increase dramatically if the number of annual insect festivals held there is any indication. A major question related to entomophagy and tourism, and to tourism generally, is its exploitative potential.","Article Type - Book Chapter,Farming,Food/feed",
Considering animals’ feelings: Précis of <em>Sentience and animal welfare</em> (Broom 2014),"Broom, Donald",2016,,"Article Type - Opinion,Fish,Invertebrate,Killing Method,Moral Status,Sentience,Welfare",https://www.wellbeingintlstudiesrepository.org/animsent/vol1/iss5/1
Insects have agency but probably not sentience because they lack social bonding,"van Hateren, J.",2016,,"Affective States,Article Type - Commentary,Sentience",https://www.wellbeingintlstudiesrepository.org/animsent/vol1/iss9/3
Insects have the capacity for subjective experience,"Klein, Colin; Barron, Andrew",2016,,"Article Type - Review,Sentience",https://www.wellbeingintlstudiesrepository.org/animsent/vol1/iss9/1
Affective sentience and moral protection,"Powell, Russell; Mikhalevich, Irina",2021,,"Affective States,Article Type - Commentary,Moral Status,Sentience",https://scholarworks.rit.edu/article/1994
"Insect consciousness: Commitments, conflicts and consequences","Klein, Colin; Barron, Andrew",2016,,"Affective States,Article Type - Commentary,Sentience",https://www.wellbeingintlstudiesrepository.org/animsent/vol1/iss9/21
Insects join the consciousness fray,"Merker, Bjorn",2016,,"Article Type - Commentary,Sentience",https://www.wellbeingintlstudiesrepository.org/animsent/vol1/iss9/4
"Brain complexity, sentience and welfare","Broom, Donald",2020,,"Article Type - Opinion,Invertebrate,Moral Status,Welfare",https://www.wellbeingintlstudiesrepository.org/animsent/vol5/iss29/27
